Ozone,Solar.R,Wind,Temp,Month,Day,rand1,rand2,rand3,rand4,rand5
41,190,7.4,67,5,1,2.20092,706,62.2887,261.241,390.252
36,118,8,72,5,2,3.74528,534,62.1927,116.068,344.873
12,149,12.6,74,5,3,8.07544,790,98.2999,248.223,469.943
18,313,11.5,62,5,4,2.41366,383,70.9289,555.91,497.378
0,0,14.3,56,5,5,0.205994,459,64.1767,0,577.795
28,0,14.9,66,5,6,1.11255,677,77.5954,0,349.841
23,299,8.6,65,5,7,0.999433,922,133.03,336.514,305.152
19,99,13.8,59,5,8,1.47555,848,83.8869,160.135,385.851
8,19,20.1,61,5,9,5.97069,35,69.6658,29.399,255.947
0,194,8.6,69,5,10,5.7619,452,76.2889,169.113,280.383
7,0,6.9,74,5,11,3.34293,418,64.3719,0,456.433
16,256,9.7,69,5,12,6.37477,141,71.6697,600.061,647.064
11,290,9.2,66,5,13,4.90781,912,98.6092,322.861,336.347
14,274,10.9,68,5,14,0.624696,633,100.37,453.086,662.893
18,65,13.2,58,5,15,0.33922,317,65.3001,208.718,283.881
14,334,11.5,64,5,16,3.29848,776,131.556,351.646,452.499
34,307,12,66,5,17,0.108559,196,17.6956,345.754,634.226
6,78,18.4,57,5,18,8.06981,500,68.5856,295.193,449.942
30,322,11.5,68,5,19,1.26799,784,112.577,391.718,350.213
11,44,9.7,62,5,20,2.23126,689,40.1326,76.9057,491.045
1,8,9.7,59,5,21,1.10993,171,87.1856,9.06689,406.008
11,320,16.6,73,5,22,9.55883,284,88.7965,293.032,795.32
4,25,9.7,61,5,23,8.06197,716,54.7853,48.2207,433.108
32,92,12,61,5,24,5.30879,168,56.5502,86.2184,484.515
0,66,16.6,57,5,25,4.90814,582,78.8198,118.546,443.727
0,266,14.9,58,5,26,3.25,422,62.025,240.845,609.762
0,0,8,57,5,27,7.96021,721,69.0753,0,763.494
23,13,12,67,5,28,4.67917,275,72.4665,18.3396,967.152
45,252,14.9,81,5,29,0.969311,1000,46.1511,296.726,411.575
115,223,5.7,79,5,30,6.69761,941,114.985,206.737,318.477
37,279,7.4,76,5,31,2.39085,297,95.3525,908.375,324.838
0,286,8.6,78,6,1,1.31146,566,75.241,424.702,568.609
0,287,9.7,74,6,2,2.75139,479,126.695,392.838,363.116
0,242,16.1,67,6,3,2.58662,237,82.0292,422.625,314.244
0,186,9.2,84,6,4,1.44309,354,60.4696,198.294,874.65
0,220,8.6,85,6,5,9.30865,471,130.655,280.038,538.434
0,264,14.3,79,6,6,2.50376,522,105.561,307.141,457.789
29,127,9.7,82,6,7,0.355619,592,61.7388,178.462,1467.01
0,273,6.9,87,6,8,6.65185,584,62.2998,296.691,724.728
71,291,13.8,90,6,9,3.89033,3,64.1097,319.217,2424.99
39,323,11.5,87,6,10,8.23599,222,82.4486,297.087,352.732
0,259,10.9,93,6,11,6.09191,923,87.7489,328.532,1022.84
0,250,9.2,92,6,12,6.14579,89,29.454,213.07,743.195
23,148,8,82,6,13,5.67857,482,98.1682,311.198,575.317
0,332,13.8,80,6,14,1.07627,569,26.1031,490.401,904.637
0,322,11.5,79,6,15,1.62901,853,99.6306,299.858,487.89
21,191,14.9,77,6,16,4.07041,318,44.3814,242.754,906.414
37,284,20.7,72,6,17,7.6297,670,70.6624,499.445,840.244
20,37,9.2,65,6,18,5.39222,123,73.7816,53.7376,641.158
12,120,11.5,73,6,19,7.03613,777,42.6416,139.641,792.236
13,137,10.3,76,6,20,6.56077,723,60.4797,167.361,338.563
0,150,6.3,77,6,21,3.74971,267,64.7487,179.342,421.066
0,59,1.7,76,6,22,5.66638,49,106.033,95.5806,587.632
0,91,4.6,76,6,23,6.09794,8,44.6634,95.2708,564.769
0,250,6.3,76,6,24,4.47079,502,77.5927,269.246,585.812
0,135,8,75,6,25,9.71846,892,53.7069,176.397,809.664
0,127,8,78,6,26,2.63368,22,51.6093,292.376,1748.41
0,47,10.3,73,6,27,7.63006,759,59.642,78.0367,408.542
0,98,11.5,80,6,28,8.0135,925,87.6674,190.886,447.643
0,31,14.9,77,6,29,1.15268,932,116.975,23.4522,680.676
0,138,8,83,6,30,9.76568,798,103.628,160.928,421.568
135,269,4.1,84,7,1,0.532664,679,58.6858,309.147,600.742
49,248,9.2,85,7,2,2.49468,719,86.1285,400.577,740.57
32,236,9.2,81,7,3,6.15916,149,70.7518,412.932,346.752
0,101,10.9,84,7,4,6.05763,547,116.865,108.995,750.371
64,175,4.6,83,7,5,2.35217,589,73.141,170.903,688.622
40,314,10.9,83,7,6,0.406124,914,84.6812,784.851,840.452
77,276,5.1,88,7,7,2.51195,200,90.9486,405.404,427.268
97,267,6.3,92,7,8,5.33168,68,70.5174,373.151,705.703
97,272,5.7,92,7,9,2.13943,195,66.4155,549.941,363.264
85,175,7.4,89,7,10,8.00477,208,67.6183,185.617,596.281
0,139,8.6,82,7,11,4.04144,793,84.723,157.742,500.687
10,264,14.3,73,7,12,4.57154,357,48.7208,251.799,393.675
27,175,14.9,81,7,13,9.1012,341,70.9009,137.237,377.387
0,291,14.9,91,7,14,6.68036,147,90.4374,507.851,390.118
7,48,14.3,80,7,15,6.53165,987,46.6471,103.791,435.181
48,260,6.9,81,7,16,7.77946,212,78.4034,252.1,3951.93
35,274,10.3,82,7,17,4.617,847,50.2802,368.694,515.222
61,285,6.3,84,7,18,6.70304,943,84.8866,432.852,1013.73
79,187,5.1,87,7,19,7.11547,658,36.3802,182.54,528.183
63,220,11.5,85,7,20,5.38733,635,79.3924,286.3,623.979
16,7,6.9,74,7,21,7.8723,890,71.8655,8.63106,516.011
0,258,9.7,81,7,22,4.57557,2,81.7524,245.915,429.836
0,295,11.5,82,7,23,3.16494,803,83.3935,574.416,488.66
80,294,8.6,86,7,24,4.54267,879,75.3967,655.469,529.332
108,223,8,85,7,25,9.115,610,72.5883,217.533,504.861
20,81,8.6,82,7,26,8.84877,437,68.3263,134.125,867.557
52,82,12,86,7,27,4.63545,931,95.7193,82.4024,775.004
82,213,7.4,88,7,28,3.30818,30,77.5468,215.94,894.234
50,275,7.4,86,7,29,0.152124,650,81.2056,980.069,568.43
64,253,7.4,83,7,30,7.94266,686,61.843,1656.87,404.81
59,254,9.2,81,7,31,9.41183,813,63.3613,340.132,388.118
39,83,6.9,81,8,1,1.17973,652,29.1915,125.936,384.2
9,24,13.8,81,8,2,3.00025,554,97.7358,57.5083,795.548
16,77,7.4,82,8,3,6.61447,755,59.4273,96.1553,723.861
78,0,6.9,86,8,4,7.94305,214,78.4454,0,604.242
35,0,7.4,85,8,5,3.86476,270,12.6305,0,431.158
66,0,4.6,87,8,6,4.91672,775,88.2778,0,393.596
122,255,4,89,8,7,8.00077,564,82.0386,347.083,684.019
89,229,10.3,90,8,8,9.6036,428,126.717,220.56,388.156
110,207,8,90,8,9,8.16086,744,71.6568,244.412,306.844
0,222,8.6,92,8,10,7.82684,999,65.4209,247.049,580.742
0,137,11.5,86,8,11,5.78555,536,68.6728,159.457,436.87
44,192,11.5,86,8,12,4.47736,839,49.1752,183.692,624.077
28,273,11.5,82,8,13,4.20749,104,36.2052,385.15,683.209
65,157,9.7,80,8,14,5.36043,815,133.671,244.049,715.87
0,64,11.5,79,8,15,8.30979,789,58.1516,153.051,576.582
22,71,10.3,77,8,16,9.85719,726,55.4614,70.8764,738.908
59,51,6.3,79,8,17,7.40493,809,97.9154,45.9607,1358.21
23,115,7.4,76,8,18,3.14895,725,69.4358,124.202,738.409
31,244,10.9,78,8,19,8.06583,802,58.9878,210.374,710.415
44,190,10.3,78,8,20,8.85189,867,78.1446,284.848,389.947
21,259,15.5,77,8,21,7.85861,43,99.7005,325.011,322.089
9,36,14.3,72,8,22,3.58385,53,71.7134,47.5574,3199.14
0,255,12.6,75,8,23,0.868984,358,59.621,321.028,369.42
45,212,9.7,79,8,24,9.27804,606,76.1508,436.861,454.101
168,238,3.4,81,8,25,2.00832,324,48.7068,823.316,763.079
73,215,8,86,8,26,5.29798,234,93.0169,581.099,1003.03
0,153,5.7,88,8,27,5.81536,127,66.2032,387.056,364.684
76,203,9.7,97,8,28,0.772254,587,88.9058,318.864,488.036
118,225,2.3,94,8,29,4.10304,283,106.362,298.76,971.344
84,237,6.3,96,8,30,1.96851,378,95.1456,436.311,555.371
85,188,6.3,94,8,31,3.39261,511,72.4764,413.495,496.548
96,167,6.9,91,9,1,9.1177,405,78.4842,206.007,452.502
78,197,5.1,92,9,2,4.94298,379,104.824,187.899,550.371
73,183,2.8,93,9,3,4.30028,75,54.5831,191.751,444.364
91,189,4.6,93,9,4,9.51876,425,92.0497,245.674,643.114
47,95,7.4,87,9,5,4.43411,102,81.158,173.982,1656.32
32,92,15.5,84,9,6,5.00668,481,105.183,153.752,731.352
20,252,10.9,80,9,7,0.774398,845,71.7706,496.717,843.38
23,220,10.3,78,9,8,3.49319,921,94.901,418.718,660.608
21,230,10.9,75,9,9,8.04344,539,52.643,377.6,496.358
24,259,9.7,73,9,10,0.098054,997,59.4225,692.379,504.152
44,236,14.9,81,9,11,8.7038,966,66.5129,256.974,514.29
21,259,15.5,76,9,12,6.42617,177,68.3026,387.701,1237.96
28,238,6.3,77,9,13,7.14996,974,60.4076,302.744,448.049
9,24,10.9,71,9,14,2.82814,444,62.2595,27.5338,546.096
13,112,11.5,71,9,15,5.75736,942,53.504,194.875,1482.69
46,237,6.9,78,9,16,3.67362,887,84.7356,209.236,509.479
18,224,13.8,67,9,17,2.79379,256,96.5786,225.241,356.84
13,27,10.3,76,9,18,5.53639,202,71.8888,27.5483,655.622
24,238,10.3,68,9,19,0.328107,917,61.1193,360.646,497.255
16,201,8,82,9,20,5.56849,13,75.4257,261.309,501.31
13,238,12.6,64,9,21,3.80525,4,72.3951,899.39,329.464
23,14,9.2,71,9,22,2.4619,933,97.9415,25.8372,717.18
36,139,10.3,81,9,23,9.25515,111,27.6528,138.648,752.022
7,49,10.3,69,9,24,3.36922,353,7.93761,50.9563,548.703
14,20,16.6,63,9,25,4.71581,464,55.0119,20.4909,293.76
30,193,6.9,70,9,26,1.64979,538,62.4541,536.082,428.594
0,145,13.2,77,9,27,0.874468,242,56.9043,294.853,656.656
14,191,14.3,75,9,28,4.86991,468,98.0526,314.555,428.838
18,131,8,76,9,29,1.83601,573,87.6535,121.913,467.771
20,223,11.5,68,9,30,3.67012,292,92.6346,228.1,542.105
